Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
anton espiga,RUNNING,11-11-2025,12:38:56,00:33:06,5.89,141,10.7,15.2,05:37,03:57,324,34,65,1,89,,54,,36,40,,,,169.0,64.0,183,50,47,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,109,0.3,215:50,0,,,0.00,,,
,00:00:01,109,0.8,79:19,0,,,0.00,,,
,00:00:02,108,1.5,40:50,0,,,0.00,,,
,00:00:03,108,2.4,25:08,42,,,0.60,,,
,00:00:04,108,3.4,17:32,73,,,1.40,,,
,00:00:05,107,4.5,13:26,79,,,2.80,,,
,00:00:06,106,5.4,11:01,84,,,4.30,,,
,00:00:07,106,6.3,09:31,85,,,6.00,,,
,00:00:08,105,7.1,08:31,87,,,8.10,,,
,00:00:09,105,7.7,07:46,88,,,10.10,,,
,00:00:10,104,8.4,07:11,88,,,12.50,,,
,00:00:11,104,8.9,06:44,87,,,15.00,,,
,00:00:12,103,8.9,06:44,86,,,17.50,,,
,00:00:13,102,4.3,13:53,85,,,17.50,,,
,00:00:14,102,9.2,06:33,84,,,17.50,,,
,00:00:15,102,9.8,06:06,84,,,17.60,,,
,00:00:16,102,9.6,06:16,85,,,21.60,,,
,00:00:17,102,9.0,06:40,84,,,25.81,,,
,00:00:18,102,8.8,06:49,85,,,30.03,,,
,00:00:19,103,8.7,06:52,85,,,34.24,,,
,00:00:20,103,8.7,06:53,85,,,38.45,,,
,00:00:21,104,8.7,06:53,85,,,42.67,,,
,00:00:22,104,8.7,06:54,85,,,46.88,,,
,00:00:23,105,8.9,06:45,85,,,51.09,,,
,00:00:24,105,9.1,06:34,85,,,51.60,,,
,00:00:25,105,9.2,06:31,85,,,53.60,,,
,00:00:26,105,9.2,06:29,85,,,55.20,,,
,00:00:27,105,9.4,06:24,85,,,58.40,,,
,00:00:28,105,9.5,06:17,85,,,61.50,,,
,00:00:29,106,9.7,06:12,85,,,64.50,,,
,00:00:30,106,9.8,06:07,85,,,67.40,,,
,00:00:31,107,10.0,06:01,85,,,70.40,,,
,00:00:32,107,10.3,05:51,85,,,73.10,,,
,00:00:33,108,10.6,05:41,85,,,76.00,,,
,00:00:34,108,10.6,05:38,85,,,79.00,,,
,00:00:35,108,10.5,05:42,85,,,81.60,,,
,00:00:36,109,10.3,05:51,85,,,84.20,,,
,00:00:37,109,10.1,05:56,85,,,86.90,,,
,00:00:38,110,10.0,05:59,85,,,89.70,,,
,00:00:39,110,10.0,06:01,85,,,92.50,,,
,00:00:40,110,10.0,06:02,85,,,95.20,,,
,00:00:41,110,10.0,06:02,85,,,98.00,,,
,00:00:42,110,9.9,06:04,85,,,100.70,,,
,00:00:43,110,9.8,06:09,85,,,103.30,,,
,00:00:44,110,9.6,06:13,85,,,105.80,,,
,00:00:45,110,9.6,06:16,85,,,108.70,,,
,00:00:46,110,9.5,06:18,85,,,111.20,,,
,00:00:47,110,9.5,06:19,85,,,113.80,,,
,00:00:48,110,9.5,06:19,85,,,116.50,,,
,00:00:49,110,9.5,06:19,85,,,119.20,,,
,00:00:50,110,9.5,06:19,85,,,122.00,,,
,00:00:51,110,9.6,06:16,85,,,124.80,,,
,00:00:52,110,9.7,06:13,85,,,127.80,,,
,00:00:53,111,9.7,06:11,84,,,130.60,,,
,00:00:54,111,9.7,06:11,84,,,133.30,,,
,00:00:55,111,9.7,06:11,84,,,136.00,,,
,00:00:56,112,9.7,06:12,85,,,138.60,,,
,00:00:57,112,9.7,06:12,85,,,141.10,,,
,00:00:58,113,9.6,06:13,85,,,143.70,,,
,00:00:59,113,9.6,06:14,85,,,145.60,,,
,00:01:00,114,9.6,06:15,84,,,147.90,,,
,00:01:01,114,9.4,06:21,84,,,149.80,,,
,00:01:02,114,9.2,06:30,84,,,151.90,,,
,00:01:03,114,9.1,06:34,84,,,154.00,,,
,00:01:04,115,9.1,06:36,84,,,156.30,,,
,00:01:05,115,9.1,06:35,85,,,158.60,,,
,00:01:06,116,9.2,06:32,85,,,161.00,,,
,00:01:07,116,9.2,06:30,85,,,163.20,,,
,00:01:08,117,9.3,06:28,84,,,166.00,,,
,00:01:09,117,9.3,06:27,84,,,167.90,,,
,00:01:10,118,9.3,06:26,84,,,170.40,,,
,00:01:11,118,9.4,06:25,84,,,172.90,,,
,00:01:12,118,9.4,06:24,85,39,,175.40,,,
,00:01:13,118,9.4,06:23,85,37,,177.80,,,
,00:01:14,118,9.4,06:23,85,38,,180.10,,,
,00:01:15,118,9.4,06:23,85,38,,182.40,,,
,00:01:16,118,9.4,06:22,85,38,,185.10,,,
,00:01:17,118,9.4,06:22,85,38,,187.70,,,
,00:01:18,118,9.4,06:21,85,38,,190.50,,,
,00:01:19,117,9.5,06:20,85,38,,193.40,,,
,00:01:20,117,9.5,06:19,85,39,,196.20,,,
,00:01:21,117,9.5,06:18,85,39,,199.20,,,
,00:01:22,117,9.6,06:17,84,39,,201.90,,,
,00:01:23,117,9.6,06:16,84,39,,204.40,,,
,00:01:24,118,9.6,06:15,84,39,,206.90,,,
,00:01:25,118,9.6,06:15,84,39,,209.20,,,
,00:01:26,119,9.6,06:15,85,40,,211.80,,,
,00:01:27,119,9.6,06:16,84,40,,214.80,,,
,00:01:28,120,9.6,06:16,84,40,,217.30,,,
,00:01:29,120,9.6,06:16,84,40,,219.90,,,
,00:01:30,120,9.6,06:16,84,40,,222.60,,,
,00:01:31,121,9.6,06:14,84,40,,225.70,,,
,00:01:32,121,9.8,06:09,84,40,,229.30,,,
,00:01:33,121,9.9,06:02,84,40,,232.50,,,
,00:01:34,122,10.1,05:56,84,39,,235.80,,,
,00:01:35,122,10.1,05:56,84,39,,238.70,,,
,00:01:36,122,10.0,05:59,85,39,,241.20,,,
,00:01:37,123,9.9,06:03,85,39,,243.60,,,
,00:01:38,123,9.7,06:10,85,38,,245.70,,,
,00:01:39,123,9.4,06:22,85,38,,247.90,,,
,00:01:40,123,9.2,06:30,84,37,,250.00,,,
,00:01:41,123,9.2,06:32,85,37,,252.20,,,
,00:01:42,123,9.2,06:31,84,37,,254.40,,,
,00:01:43,123,9.2,06:31,84,36,,256.20,,,
,00:01:44,124,9.3,06:28,84,36,,258.80,,,
,00:01:45,124,9.3,06:26,84,35,,261.70,,,
,00:01:46,124,9.3,06:26,84,35,,264.50,,,
,00:01:47,124,9.3,06:26,84,34,,267.40,,,
,00:01:48,124,9.3,06:25,85,34,,270.30,,,
,00:01:49,124,9.4,06:25,85,33,,273.00,,,
,00:01:50,125,9.4,06:25,85,32,,275.80,,,
,00:01:51,125,9.4,06:25,85,32,,277.90,,,
,00:01:52,125,9.3,06:25,85,32,,280.60,,,
,00:01:53,126,9.3,06:26,85,31,,282.60,,,
,00:01:54,126,9.4,06:25,85,31,,285.10,,,
,00:01:55,126,9.4,06:24,85,30,,288.20,,,
,00:01:56,127,9.4,06:25,85,30,,290.70,,,
